LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price(€),Ext.Price(€),Product Link
C2682182,PJ-3043-B,XKB Connection,Plugin,,-25℃~+85℃ 3.5mm headphone jack 235℃ 30V 500mA Plugin  Audio Connector (Headphone) ROHS,yes,5,1,0.4678,2.34,https://www.lcsc.com/product-detail/audio-connector-headphone_xkb-connection-pj-3043-b_C2682182.html
C2973667,ESP32-WROVER-E-N8R8,Espressif Systems,"SMD,18x31.4mm",," SMD,18x31.4mm  WiFi Modules ROHS",yes,5,1,4.4596,22.30,https://www.lcsc.com/product-detail/wifi-modules_espressif-systems-esp32-wrover-e-n8r8_C2973667.html
C968586,CH340K,WCH(Jiangsu Qin Heng),ESSOP-10-150mil-1mm,," ESSOP-10-150mil-1mm  USB Converters ROHS",yes,5,1,0.5946,2.97,https://www.lcsc.com/product-detail/usb-converters_wch-jiangsu-qin-heng-ch340k_C968586.html
C5290329,IPCB05501M20S3V,INCP,"SMD,P=0.5mm",,"0.5mm 20P Brick nogging male SMD,P=0.5mm  Board-to-Board and Backplane Connector ROHS",yes,10,1,0.3324,3.32,https://www.lcsc.com/product-detail/board-to-board-and-backplane-connector_incp-ipcb05501m20s3v_C5290329.html
C5290330,IPCB05501F20S3V,INCP,"SMD,P=0.5mm",,"0.5mm 20P Brick nogging Female SMD,P=0.5mm  Board-to-Board and Backplane Connector ROHS",yes,10,1,0.3380,3.38,https://www.lcsc.com/product-detail/board-to-board-and-backplane-connector_incp-ipcb05501f20s3v_C5290330.html
C47023,MCP23017-E/SO,Microchip Tech,SOIC-28-300mil,,16 1.7MHz I2C SOIC-28-300mil  I/O Expanders ROHS,yes,10,1,1.3832,13.83,https://www.lcsc.com/product-detail/i-o-expanders_microchip-tech-mcp23017-e-so_C47023.html
C86270,PAM8406DR,Diodes Incorporated,SOIC-16,,双声道 5Wx2@2Ω SOIC-16  Audio Power OpAmps ROHS,yes,5,1,0.3666,1.83,https://www.lcsc.com/product-detail/audio-power-opamps_diodes-incorporated-pam8406dr_C86270.html
C2924930,XM5062S-ADJ,XySemi,SOT-23-5,," SOT-23-5  DC-DC Converters ROHS",yes,10,10,0.0581,0.58,https://www.lcsc.com/product-detail/dc-dc-converters_xysemi-xm5062s-adj_C2924930.html
C711940,HE6250MPR,HEERMICR,SOT-89-3,,70dB@1kHz 500mA Fixed 5V Positive electrode 15V SOT-89-3  Linear Voltage Regulators (LDO) ROHS,yes,10,5,0.1208,1.21,https://www.lcsc.com/product-detail/linear-voltage-regulators-ldo_heermicr-he6250mpr_C711940.html
C2848932,SS-12F23-G040,G-Switch,Plugin,,1A SPDT 24V Black 1万次 Plugin  Slide Switches ROHS,yes,10,5,0.0514,0.51,https://www.lcsc.com/product-detail/slide-switches_g-switch-ss-12f23-g040_C2848932.html
C26000,0603WAJ0512T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 5.1kΩ 0603  Chip Resistor - Surface Mount ROHS,yes,200,100,0.0009,0.18,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waj0512t5e_C26000.html
