Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BATTERY_AA_SMD_PLUS,1,Battery_Cell,C964874
BT2,BATTERY_AA_SMD_MINUS,1,Battery_Cell,C964876
"C1, C11, C14, C17, C18, C19, C2, C20, C23, C24, C25, C26, C27, C29, C3, C31, C32, C33, C4, C6, C7, C8, C9",1206,23,4µ7,C282809
"C10, C12, C13, C21, C22",0603,5,100n,
"C15, C16",0603,2,220p,C107081
"C28, C30, C5",CP_EIA-7343-43_Kemet-X,3,470µ,C724264
CN1,AUDIO-TH_PJ-3043-B,1,PJ-3043-B,
"D1, D4",0603,2,LED,
"D11, D12, D2, D3, D5, D6, D7",Nexperia_CFP3_SOD-123W,7,D,C5120763
DC1,DC-IN-TH_DC-011A,1,DC-011A,
"FB1, FB2, FB3, FB6, FB7",0805,5,FerriteBead_Small,C963878
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J10,NINTENDO_MINUS,1,Conn_01x01_Pin,
J2,PinHeader_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
J3,PinHeader_1x04_P2.00mm_Vertical,1,Conn_01x04_Socket,
J5,MicroSD_Self_ bomb,1,Micro_SD_Card_CD,C393941
J6,solder connector 0.8mm 18 pin,1,Conn_01x18_Socket,
J7,DMG_01_CARDRIDGE_CONNECTOR,1,Conn_01x32,
J9,NINTENDO_PLUS,1,Conn_01x01_Pin,
"L1, L2",1210,2,2.2µ,C3002559
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED-SMD_4P-L3.5-W3.5-TL_WS2812B,8,WS2812B-MINI,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,C391015
"Q1, Q2, Q4, Q6, Q8, Q9",SOT-323_SC-70,6,BC817,C383187
"Q10, Q3, Q5, Q7",SOT-323_SC-70,4,Q_PMOS_GSD,C19078062
"R1, R10, R11, R14, R16, R17, R18, R19, R20, R21, R22, R24, R25, R26, R27, R29, R30, R31, R32, R33, R34, R37, R38, R39, R4, R40, R45, R47, R5, R56, R57",0603,31,5K1,C26000
R12,0603,1,430K,C25969
"R13, R23, R3, R35, R36, R46, R58, R59, R8, R9",0603,10,100K,C15458
R28,0603,1,4R7,C491192
"R42, R43, R44, R6, R7",0603,5,22,C1203
"R48, R49, R52",0603,3,15K,C2906995
"R50, R51, R55",0603,3,1K1,C2906975
"R53, R54",0603,2,10K,C25804
R60,0603,1,510K,C23192
SM3,Symbol_kurzschlussblog,1,SYM_Arrow45_Tiny,
SW1,SW-TH_SS-12F23-G040,1,SS-12F23-G040,
"SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW9",RubberpadButton_250µ_250µ,10,SW_Push,
U1,VSON-10_L3.0-W3.0-P0.50-TL-EP-1,1,TPS61028DRCR,C575574
U10,SSOP-10_3.9x4.9mm_P1.00mm_EP_3mmx2mm,1,CH340K,C968586
U12,PM200-2-07-S-4.3,1,CS-1193SDIG-2X7SMT(H4.3),
U2,SOT-23-5,1,XM5062S,C2924930
U3,WIFI-SMD_ESP32-WROVER-IE8MB,1,ESP32-WROVER-E-N8R8,
U4,SOP-16_3.9x9.9mm_P1.27mm,1,PAM8406D,C86270
"U5, U6",SOIC-28W_7.5x17.9mm_P1.27mm,2,MCP23017_SO,C47023
U7,02FVS3,1,02FVS3,C2925423
U8,HDR-SMD_14P-P2.00-V-M-R2-C7-LS6.4,1,DZ200S-22-14-64,
U9,VSON-10_L3.0-W3.0-P0.50-BL-EP1.65,1,BQ25171QWDRCRQ1,C2861221
