Designator,Mid X,Mid Y,Rotation,Layer
BT1,125.4778,-120.396806,90.0,bottom
BT2,126.7578,-76.696806,90.0,bottom
C1,63.524999,-76.6,270.0,bottom
C10,75.957799,-81.032,270.0,bottom
C11,81.8546,-80.433201,270.0,bottom
C12,190.786001,-77.5538,270.0,bottom
C13,190.786001,-73.553801,90.0,bottom
C14,195.036001,-81.0288,180.0,bottom
C15,208.536001,-73.7788,90.0,bottom
C16,206.786001,-77.303799,90.0,bottom
C17,210.036001,-77.0538,180.0,bottom
C18,211.6,-73.0,135.0,bottom
C19,71.3658,-120.833806,270.0,bottom
C2,71.3898,-76.532,180.0,bottom
C20,155.786001,-112.7788,0.0,bottom
C21,91.4578,-92.032,0.0,bottom
C22,91.4578,-126.281999,180.0,bottom
C23,103.1398,-84.74,270.0,bottom
C24,102.6318,-119.284,270.0,bottom
C25,115.3318,-76.612,0.0,bottom
C26,160.536001,-112.7788,180.0,bottom
C27,100.2078,-133.532,90.0,bottom
C28,69.6626,-106.33,0.0,bottom
C29,226.536001,-77.7788,0.0,bottom
C3,55.7678,-118.967195,180.0,bottom
C30,154.786001,-109.0288,180.0,bottom
C31,133.536001,-67.5288,0.0,bottom
C32,63.524999,-81.4,270.0,bottom
C33,52.6,-111.2,90.0,bottom
C4,66.407801,-111.230805,270.0,bottom
C5,202.036001,-66.3038,0.0,bottom
C6,200.036001,-70.0538,180.0,bottom
C7,200.036001,-81.0538,180.0,bottom
C8,68.907798,-111.230806,90.0,bottom
C9,164.036001,-121.0288,180.0,bottom
CN1,250.2175,-108.17,270.0,bottom
D1,145.225,-135.0,180.0,top
D11,228.036001,-81.5288,270.0,bottom
D12,228.036001,-86.2788,270.0,bottom
D2,68.9578,-120.796806,270.0,bottom
D3,70.2078,-72.782,90.0,bottom
D4,81.8,-59.6,180.0,bottom
D5,90.9478,-97.947999,0.0,bottom
D6,96.2078,-134.532,0.0,bottom
D7,91.2078,-134.532,0.0,bottom
DC1,72.2078,-132.559306,90.0,bottom
FB1,195.536001,-65.8038,180.0,bottom
FB2,205.036001,-77.5538,90.0,bottom
FB3,205.036001,-73.5538,270.0,bottom
FB4,206.786001,-73.5288,270.0,bottom
FB6,70.2078,-68.532,270.0,bottom
FB7,68.9578,-125.046806,90.0,bottom
J1,74.7426,-60.4068,180.0,bottom
J10,127.2578,-76.796806,270.0,bottom
J2,253.650001,-93.584807,270.0,bottom
J3,127.5578,-62.896806,0.0,bottom
J5,161.375671,-135.117594,0.0,bottom
J6,158.306001,-117.07,270.0,top
J7,113.4578,-99.046806,270.0,bottom
J9,127.2578,-120.396806,0.0,bottom
