Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BATTERY_AA_SMD_PLUS,1,Battery_Cell,C964874
BT2,BATTERY_AA_SMD_MINUS,1,Battery_Cell,C964876
"C1, C11, C12, C15, C18, C19, C2, C3, C4, C5, C8, C9",1206,12,4µ7,
"C10, C13, C14",1206,3,100n,
"C16, C17, C6, C7",0603,4,220p,
CN1,AUDIO-TH_PJ-3043-B,1,PJ-3043-B,C2682182
D1,0603,1,LED,
"D2, D3",Nexperia_CFP3_SOD-123W,2,D,
DC1,DC-IN-TH_DC-011A,1,DC-011A,C480366
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB9",0805,8,FerriteBead_Small,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J10,NINTENDO_MINUS,1,Conn_01x01_Pin,
J2,PinHeader_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
J3,PinHeader_1x04_P2.00mm_Vertical,1,Conn_01x04_Socket,
"J4, J7",solder connector 0.8mm 18 pin,2,Conn_01x18_Socket,
J5,MicroSD_Self_ bomb,1,Micro_SD_Card_CD,C393941
J9,NINTENDO_PLUS,1,Conn_01x01_Pin,
L1,1210,1,2.2µ,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,C391015
"Q1, Q2, Q3, Q4",SOT-23,4,BC817,
"R1, R13, R2, R22, R23, R32",0603,6,100K,
"R11, R20, R21",0603,3,5K1,C26000
R12,0603,1,430K,
"R16, R17, R18, R19, R25, R3, R31, R37, R38, R39, R4, R40, R41, R42, R5, R9",0603,16,5K1,
"R24, R33, R34, R35, R36, R43, R44, R6, R7",0603,9,22,
R26,0603,1,4R7,
SW1,SW-TH_SS-12F23-G040,1,SS-12F23-G040,C2848932
"SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW7, SW8, SW9",RubberpadButton_250µ_250µ,10,SW_Push,
U1,SOT-89-3,1,HE6250xx,C711940
U10,SSOP-10_3.9x4.9mm_P1.00mm_EP_3mmx2mm,1,CH340K,C968586
U11,WIFI-SMD_ESP32-WROVER-IE8MB,1,ESP32-WROVER-E-N8R8,C2973667
U2,SOT-23-5,1,XM5062S,C2924930
U3,SOP-16_3.9x9.9mm_P1.27mm,1,PAM8406D,C86270
U4,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,1,MAX98357AETE+T,C910544
U7,02FVS3,1,02FVS3,C2925423
U8,CONN-SMD_20P-P0.50_INCP_IPCB05501F20S3V,1,IPCB05501F20S3V,C5290330
U9,CONN-SMD_20P-P0.50_INCP_IPCB05501M20S3V,1,IPCB05501M20S3V,C5290329
