Designator,Mid X,Mid Y,Rotation,Layer
BT1,182.1,-102.52,180.0,top
BT2,138.4,-103.8,180.0,top
C1,162.1,-101.1,270.0,top
C10,142.5,-51.5,270.0,top
C11,142.5,-56.25,270.0,top
C12,141.595001,-36.0,180.0,top
C13,152.532501,-42.75,180.0,top
C14,152.532501,-40.25,180.0,top
C15,148.845001,-43.0,90.0,top
C16,134.845001,-40.5,0.0,top
C17,134.845001,-42.25,180.0,top
C18,141.595001,-47.0,180.0,top
C19,178.75,-47.0,270.0,top
C2,131.0,-59.25,0.0,top
C3,174.1,-101.1,90.0,top
C4,162.39375,-83.525,270.0,top
C5,134.975,-69.91,90.0,top
C6,138.175,-78.51,180.0,top
C7,141.475,-78.5,180.0,top
C8,159.89375,-83.525,90.0,top
C9,110.2,-85.2,0.0,bottom
CN1,195.23807,-124.385194,270.0,top
D1,190.0,-55.0,180.0,top
D2,182.5,-46.0,0.0,top
D3,131.0,-56.75,0.0,top
DC1,194.2625,-49.25,180.0,top
FB1,140.775,-75.7725,270.0,top
FB2,138.775,-75.7725,270.0,top
FB3,146.095001,-36.0,180.0,top
FB4,134.845001,-44.0,180.0,top
FB5,134.845001,-38.749999,180.0,top
FB6,131.0,-54.5,0.0,top
FB7,186.75,-46.0,180.0,top
FB8,130.4375,-63.5,0.0,top
FB9,130.4375,-61.5,0.0,top
J1,122.8,-51.8,270.0,top
J10,138.5,-104.3,0.0,top
J2,191.400001,-110.2,270.0,top
J3,124.6,-104.6,90.0,top
J4,155.2,-84.5,270.0,bottom
J5,105.2,-75.2,90.0,bottom
J7,178.8,-59.2,180.0,bottom
J9,182.1,-104.3,90.0,top
L1,165.39375,-85.5125,90.0,top
LS1,176.8,-142.4,270.0,bottom
Q1,139.05,-59.4375,90.0,top
Q2,171.5,-56.5,180.0,top
Q3,134.032501,-35.75,270.0,top
Q4,135.55,-59.4375,90.0,top
R1,186.5,-56.75,0.0,top
R10,141.574999,-65.01,90.0,top
R11,149.282501,-36.0,270.0,top
R12,157.89375,-83.025,270.0,top
R13,157.89375,-86.525,270.0,top
R14,149.282501,-39.0,270.0,top
R15,145.5,-50.0,0.0,top
R16,183.0,-55.25,180.0,top
R17,183.0,-52.25,180.0,top
R18,183.0,-56.75,180.0,top
R19,183.0,-53.75,180.0,top
R2,190.0,-56.76,0.0,top
R20,138.375,-65.01,90.0,top
R21,137.532501,-36.0,0.0,top
R22,151.782501,-44.75,180.0,top
R23,168.75,-56.5,270.0,top
R24,184.0,-82.5,90.0,top
R25,135.55,-56.625001,0.0,top
R26,175.5,-57.5,0.0,top
R3,186.5,-55.25,0.0,top
R31,139.05,-56.625001,0.0,top
R32,151.782501,-38.25,180.0,top
R33,191.5,-82.5,90.0,top
R34,182.5,-82.5,90.0,top
R35,178.0,-82.5,90.0,top
R36,173.5,-82.5,90.0,top
R37,175.5,-52.75,180.0,top
R38,186.5,-53.75,0.0,top
R39,186.5,-52.25,180.0,top
R4,131.0,-48.25,180.0,top
R40,176.5,-82.5,270.0,top
R41,175.0,-82.5,270.0,top
R42,175.5,-56.0,180.0,top
R43,187.5,-82.5,270.0,top
R44,189.0,-82.5,270.0,top
R5,131.0,-52.75,0.0,top
R6,131.0,-49.75,180.0,top
R7,131.0,-51.25,0.0,top
R8,139.975001,-65.01,270.0,top
R9,165.39375,-89.025,0.0,top
SW1,190.25,-29.75,180.0,top
SW10,131.4,-151.4,0.0,top
SW11,174.0,-125.6,0.0,top
SW12,159.6,-132.6,0.0,top
SW2,124.6,-130.6,0.0,top
SW3,106.4,-130.4,180.0,top
SW4,115.6,-121.2,90.0,top
SW5,115.6,-139.8,270.0,top
SW7,178.4,-90.25,0.0,top
SW8,142.6,-90.3,0.0,top
SW9,146.6,-151.4,0.0,top
U1,168.1,-101.1,270.0,top
U10,137.25,-52.5,270.0,top
U11,181.25,-69.75,270.0,top
U2,161.39375,-88.025,0.0,top
U3,142.095001,-41.5,0.0,top
U4,139.825,-70.072501,0.0,top
U7,123.5,-72.6,90.0,top
U8,197.1,-97.4,270.0,bottom
U9,104.35,-105.2,90.0,bottom
