Designator,Mid X,Mid Y,Rotation,Layer
BT1,113.27,-78.135194,270.0,top
BT2,114.55,-121.835194,270.0,top
C1,43.56,-91.564805,180.0,top
C10,59.539,-121.640194,90.0,top
C11,68.1595,-125.108194,270.0,top
C12,79.11,-112.777694,270.0,top
C13,85.86,-101.840193,270.0,top
C14,83.36,-101.840193,270.0,top
C15,86.11,-105.527694,180.0,top
C16,83.61,-119.527694,90.0,top
C17,85.36,-119.527694,270.0,top
C18,90.11,-112.777694,270.0,top
C19,59.158,-77.698194,90.0,top
C2,70.385,-129.785194,90.0,top
C21,92.94,-107.035194,270.0,top
C22,92.94,-84.175194,270.0,top
C23,101.195,-78.714194,180.0,top
C24,101.8,-100.4,180.0,top
C25,101.195,-121.894194,180.0,top
C3,43.56,-79.564806,0.0,top
C4,54.2,-87.301195,90.0,top
C5,79.274999,-94.982194,180.0,top
C6,87.875,-91.782194,270.0,top
C7,87.864999,-88.482194,270.0,top
C8,56.699999,-87.301194,270.0,top
D1,47.22,-93.954194,270.0,top
D2,56.75,-77.735194,90.0,top
D3,67.885,-129.785194,90.0,top
D5,97.2,-100.4,0.0,top
DC1,60.0,-65.972694,270.0,top
FB1,85.137498,-89.182194,0.0,top
FB2,85.137499,-91.182194,0.0,top
FB3,79.11,-108.277694,270.0,top
FB4,87.11,-119.527694,270.0,top
FB5,81.859999,-119.527695,270.0,top
FB6,65.635,-129.785193,90.0,top
FB7,56.75,-73.485194,270.0,top
FB9,72.635,-130.347693,90.0,top
J1,62.55,-137.435194,0.0,top
J10,115.05,-121.735194,90.0,top
J3,115.35,-135.635194,180.0,top
J7,101.25,-99.485194,90.0,top
J9,115.05,-78.135194,180.0,top
L1,51.2,-85.313694,270.0,top
Q1,73.255,-123.291194,0.0,top
Q3,89.892,-119.100194,180.0,top
Q4,73.255,-126.085194,0.0,top
Q5,92.829,-101.574194,0.0,top
Q6,92.924,-97.241194,0.0,top
R1,49.779999,-123.8,90.0,top
R11,79.109999,-105.090194,0.0,top
R12,58.7,-87.801193,90.0,top
R13,58.7,-84.301194,90.0,top
R16,57.4,-123.8,270.0,top
R17,54.351999,-123.8,270.0,top
R18,55.875999,-123.8,270.0,top
R19,52.827999,-123.8,270.0,top
R2,48.129,-123.8,270.0,top
R20,74.375,-91.582194,180.0,top
R21,79.11,-116.840194,90.0,top
R22,87.86,-102.590194,270.0,top
R24,90.4,-107.670193,270.0,top
R25,70.6995,-125.710694,90.0,top
R29,90.4,-84.810193,270.0,top
R3,48.871,-93.954194,270.0,top
R30,92.686,-95.097194,180.0,top
R31,70.6995,-122.210694,90.0,top
R32,81.36,-102.590194,270.0,top
R33,92.686,-99.415194,0.0,top
R34,92.686,-103.733194,0.0,top
R35,105.4,-100.4,90.0,top
R36,107.0,-100.4,90.0,top
R37,55.5,-93.9,90.0,top
R38,51.304,-123.7765,270.0,top
R39,46.4,-123.8,90.0,top
R4,59.385,-129.785194,270.0,top
R40,62.968,-93.954194,90.0,top
R41,64.492,-93.954194,90.0,top
R42,58.142,-93.954194,90.0,top
R43,51.919,-93.954194,90.0,top
R44,50.395,-93.954194,90.0,top
R5,63.885,-129.785194,90.0,top
R6,60.885,-129.785194,270.0,top
R7,62.385,-129.785193,90.0,top
R9,51.2,-81.801194,180.0,top
SM3,75.0175,-77.9385,90.0,top
SW1,40.5,-69.985194,270.0,top
SW7,70.2,-65.755194,180.0,top
SW8,85.4,-65.755194,180.0,top
U1,43.560001,-85.564807,0.0,top
U10,63.635,-123.535195,0.0,top
U11,58.014999,-107.670194,90.0,top
U2,55.2,-82.801194,180.0,top
U3,84.61,-112.277694,90.0,top
U4,79.4375,-90.132194,90.0,top
U5,101.195,-111.353194,90.0,top
U6,101.195,-89.382194,90.0,top
U7,83.35,-136.735194,180.0,top
U8,100.941,-99.986694,270.0,bottom
