Designator,Footprint,Quantity,Value,LCSC Part #
"C20, C9",1206,2,4µ7,
J5,MicroSD_Self_ bomb,1,Micro_SD_Card_CD,C393941
J6,solder connector 0.8mm 18 pin,1,Conn_01x18_Socket,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,C391015
Q2,SOT-323_SC-70,1,BC817,C383187
R23,0603,1,100K,
"R26, R27, R45",0603,3,5K1,
R28,0603,1,4R7,
SM3,Symbol_kurzschlussblog,1,SYM_Arrow45_Tiny,
"SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW9",RubberpadButton_250µ_250µ,8,SW_Push,
U9,CONN-SMD_20P-P0.50_INCP_IPCB05501M20S3V,1,IPCB05501M20S3V,C5290329
