Designator,Mid X,Mid Y,Rotation,Layer
C20,149.28807,-85.835194,0.0,top
C9,160.488071,-131.135194,270.0,top
J5,150.48807,-136.135194,0.0,bottom
J6,147.48207,-81.315194,90.0,top
LS1,217.68807,-64.535194,180.0,bottom
Q2,143.28807,-86.335194,90.0,top
R23,140.78807,-86.335194,90.0,top
R26,153.28807,-86.335194,270.0,top
R27,160.8,-95.0,180.0,top
R28,145.78807,-86.335194,90.0,top
R45,160.8,-96.6,180.0,top
SM3,176.657,-103.759,90.0,top
SW10,226.68807,-109.935194,90.0,top
SW11,200.88807,-67.335194,90.0,top
SW12,207.88807,-81.735194,90.0,top
SW2,205.88807,-116.735194,90.0,top
SW3,205.68807,-134.935194,270.0,top
SW4,196.48807,-125.735194,180.0,top
SW5,215.08807,-125.735194,0.0,top
SW9,226.68807,-94.735194,90.0,top
U9,173.07807,-99.984195,270.0,bottom
